RPC,Description,Lithology,Vp,Vs,Rho
104633,FERRON 82-3 1677.5,sandstone,4524.6,2807.4,2395.0
104651,NAVAJO ARCO 2,sandstone,3341.1,2061.6,2162.0
104840,KIAMICHI FORMA. 1,sandstone,3290.7,1924.8,2066.0
104703,NAVAJO ARCO 3,sandstone,3740.7,2142.6,2084.0
104660,NAVAJO ARCO 2,sandstone,3581.1,2251.5,2162.0
104894,KIAMICHI REMOLD 3,sandstone,5993.0,2875.0,2061.0
104850,KIAMICHI REMOLD 2,sandstone,4700.0,2872.0,2117.0
104627,FERRON 82-3 1677.5,sandstone,4341.9,2706.0,2395.0
104823,KIAMICHI FORMA. 4,sandstone,3138.6,1629.3,2108.0
104655,NAVAJO ARCO 2,sandstone,3495.9,2198.1,2162.0
104835,KIAMICHI FORMA. 1,sandstone,3215.1,1874.4,2066.0
104747,NAVAJO ARCO REMOL 1,sandstone,3003.3,1467.3,2160.0
104675,NAVAJO ARCO 2,sandstone,3540.0,2015.4,2162.0
104839,KIAMICHI FORMA. 1,sandstone,3215.1,1921.8,2066.0
104768,NAVAJO ARCO REMOL 3,sandstone,3088.2,1518.6,2045.0
104772,NAVAJO ARCO REMOL 3,sandstone,3175.8,1563.6,2045.0
104629,FERRON 82-3 1677.5,sandstone,4491.9,2754.3,2395.0
104717,NAVAJO ARCO REMOL 3,sandstone,5907.0,3592.0,2138.0
104696,NAVAJO ARCO 3,sandstone,3518.4,2102.7,2084.0
104639,FERRON 82-3 1677.5,sandstone,4643.7,2869.2,2395.0
104611,FERRON 82-3 1677.5,sandstone,4524.6,2691.3,2428.0
104606,FERRON 82-3 1677.5,sandstone,4388.1,2622.6,2428.0
104834,KIAMICHI FORMA. 1,sandstone,3150.9,1870.5,2066.0
104670,NAVAJO ARCO 2,sandstone,3465.9,1840.8,2162.0
104638,FERRON 82-3 1677.5,sandstone,4592.1,2856.0,2395.0
104851,KIAMICHI REMOLD 2,sandstone,4991.0,2880.0,2117.0
104596,FERRON 82-3 1677.5,sandstone,4083.6,2422.2,2428.0
104691,NAVAJO ARCO 3,sandstone,3523.5,2100.9,2084.0
104833,KIAMICHI FORMA. 1,sandstone,3089.1,1823.1,2066.0
104605,FERRON 82-3 1677.5,sandstone,4388.1,2608.8,2428.0
104822,KIAMICHI FORMA. 4,sandstone,3068.4,1588.5,2108.0
104665,NAVAJO ARCO 2,sandstone,3227.4,1726.8,2162.0
104588,FERRON 82-3 1677.5,sandstone,4304.1,2745.0,2428.0
104821,KIAMICHI FORMA. 4,sandstone,3049.5,1625.1,2108.0
104630,FERRON 82-3 1677.5,sandstone,4549.8,2775.9,2395.0
104773,NAVAJO ARCO REMOL 3,sandstone,3290.1,1608.6,2045.0
104748,NAVAJO ARCO REMOL 1,sandstone,3082.2,1500.0,2160.0
104750,NAVAJO ARCO REMOL 1,sandstone,3187.8,1465.8,2160.0
104635,FERRON 82-3 1677.5,sandstone,4626.3,2846.1,2395.0
104892,KIAMICHI REMOLD 3,sandstone,3086.4,1489.2,2126.0
104847,KIAMICHI FORMA. 1,sandstone,3321.3,1979.1,2066.0
104697,NAVAJO ARCO 3,sandstone,3605.1,2113.5,2084.0
104677,NAVAJO ARCO 2,sandstone,3485.4,2028.6,2162.0
104846,KIAMICHI FORMA. 1,sandstone,3388.2,1973.1,2066.0
104671,NAVAJO ARCO 2,sandstone,3340.2,1832.7,2162.0
104618,FERRON 82-3 1677.5,sandstone,3933.9,2366.4,2395.0
104708,NAVAJO ARCO 3,sandstone,3786.0,2172.6,2084.0
104625,FERRON 82-3 1677.5,sandstone,4166.1,2536.5,2395.0
104707,NAVAJO ARCO 3,sandstone,3729.3,2174.4,2084.0
104776,NAVAJO ARCO REMOL 3,sandstone,3298.8,1684.2,2045.0
104607,FERRON 82-3 1677.5,sandstone,4459.5,2625.3,2428.0
104749,NAVAJO ARCO REMOL 1,sandstone,3135.9,1459.5,2160.0
104582,FERRON 82-3 1677.5,sandstone,4070.1,2647.8,2428.0
104620,FERRON 82-3 1677.5,sandstone,4110.6,2498.1,2395.0
104836,KIAMICHI FORMA. 1,sandstone,3290.7,1875.9,2066.0
104578,FERRON 82-3 1677.5,sandstone,3878.4,2400.9,2428.0
104849,KIAMICHI REMOLD 2,sandstone,3863.0,2406.0,2117.0
104589,FERRON 82-3 1677.5,sandstone,4319.1,2745.0,2428.0
104705,NAVAJO ARCO 3,sandstone,3626.1,2118.9,2084.0
104640,FERRON 82-3 1677.5,sandstone,4541.4,2836.5,2395.0
104681,NAVAJO ARCO 2,sandstone,3643.8,2077.8,2162.0
104710,NAVAJO ARCO REMOL 3,sandstone,3768.0,2648.0,2138.0
104682,NAVAJO ARCO 2,sandstone,3560.1,2070.9,2162.0
104599,FERRON 82-3 1677.5,sandstone,4223.1,2431.5,2428.0
104693,NAVAJO ARCO 3,sandstone,3610.2,2155.5,2084.0
104751,NAVAJO ARCO REMOL 1,sandstone,3030.3,1475.4,2160.0
101023,Gray Shale,shale,4953.660011,2957.260132,2710.000038
100978,Olentangy Shale,shale,3444.658279,2318.002224,2680.0000670000004
100993,Brown Gas Shale,shale,3507.803917,2218.52994,2559.999943
101048,Shale 2 (Density is assumed constant),shale,2988.889933,1633.3299880000002,2600.0
100417,Tight gas shale,shale,3642.0,2221.0,2460.0
101024,Gray Shale,shale,4987.068176,2963.4923940000003,2710.000038
100969,Marcellus Black Shale,shale,4395.760536,2587.127209,2509.999991
100073,Hard shale,shale,3819.020748,2521.0464,2626.0
101057,Shale 2 (Density is assumed constant),shale,3033.329964,1633.3299880000002,2600.0
100050,Shale,shale,2402.738333,1447.172165,2354.0
100124,Pierre shale,shale,2202.0,969.0,2250.0
100999,Brown Gas Shale,shale,3893.102884,2444.700956,2559.999943
100052,Shale,shale,2509.11665,1487.700939,2354.0
100829,Jurassic Shale (Table 7.2) Outcrop,shale,3545.0,1830.0,2500.0
100063,Hard shale,shale,3726.751328,2377.921343,2605.0
100982,Olentangy Shale,shale,3750.621796,2458.61268,2680.0000670000004
100068,Hard shale,shale,3965.976238,2627.777576,2627.0
100738,Beijing Jurassic Shale,shale,5258.46,2262.08,2550.0
100836,Kimmeridge Shale,shale,3669.0,1958.0,2590.0
100082,Hard shale,shale,4408.833504,2687.6978870000003,2597.0
100125,Shale,shale,3048.0,1490.0,2420.0
100436,Caney Shale,shale,1490.711927,1084.652305,2295.0000760000003
101108,Oficina Dolomitized Shale,shale,5191.0,3024.0,2780.0
100129,Green River shale,shale,4404.0,2582.0,2310.0
100368,Bakken Formation,shale,3850.0,2400.0,2480.0
100977,Olentangy Shale,shale,3238.066435,2252.693176,2680.0000670000004
101004,Brown Gas Shale,shale,4722.784042,2738.61289,2559.999943
100963,Marcellus Black Shale,shale,3787.166357,2344.783306,2509.999991
100986,Olentangy Shale,shale,4484.633922999999,2676.598549,2680.0000670000004
101007,Brown Gas Shale,shale,5069.825172,2944.804907,2559.999943
101055,Shale 2 (Density is assumed constant),shale,3044.440031,1664.809942,2600.0
100985,Olentangy Shale,shale,4319.342136,2627.353191,2680.0000670000004
100739,Beijing Jurassic Shale,shale,5320.42,2276.11,2550.0
101050,Shale 2 (Density is assumed constant),shale,2888.8900280000003,1624.070048,2600.0
100965,Marcellus Black Shale,shale,3921.541214,2395.214319,2509.999991
100077,Hard shale,shale,3792.983055,2276.750803,2560.0
100046,Shale,shale,2290.840864,1340.9656289999998,2319.0
100816,Woodford Shale,shale,2860.0,1562.0,2270.0
100814,Woodford Shale,shale,2980.0,1650.0,2090.0
100035,Shale,shale,3235.11219,1572.615147,2511.0
100033,Shale,shale,3442.093372,1749.4659420000005,2408.0
100058,Shale,shale,2740.856648,1378.999353,2440.0
100031,Shale,shale,3198.837042,1603.308439,2408.0
101005,Brown Gas Shale,shale,4792.572498,2877.716303,2559.999943
101013,Gray Shale,shale,4024.830818,2489.831686,2710.000038
100120,Wills Point shale,shale,4130.0,2380.0,2640.0
100964,Marcellus Black Shale,shale,3854.939461,2361.713171,2509.999991
100599,Laminated Mudstone,shale,3043.0,1342.0,2492.0
100732,Beijing Jurassic Shale,shale,4993.92,1943.88,2550.0
101056,Shale 2 (Density is assumed constant),shale,3024.070025,1644.440055,2600.0
101045,Shale 2 (Density is assumed constant),shale,2844.439983,1566.669941,2600.0
100817,Woodford Shale,shale,2532.0,1492.0,2260.0
100837,Kimmeridge Shale,shale,3736.0,1996.0,2590.0
101100,Oficina Sandy Shale,shale,3119.0,2020.0,2390.0
100101,Mesaverde clayshale,shale,3794.0,2074.0,2560.0
100833,Kimmeridge Shale,shale,3476.0,1863.0,2590.0
100034,Shale,shale,3117.8882120000003,1531.561017,2511.0
100972,Marcellus Black Shale,shale,4773.766518,2700.154781,2509.999991
101053,Shale 2 (Density is assumed constant),shale,3144.439936,1655.560017,2600.0
100825,Jurassic Shale (Table 7.2) Outcrop,shale,3001.0,1401.0,2500.0
101097,Oficina Sandy Shale,shale,2809.0,1936.0,2390.0
100080,Hard shale,shale,4265.902042000001,2660.337687,2597.0
100121,Cotton Valley Shale,shale,4721.0,2890.0,2640.0
101104,Oficina Sandy Shale,shale,3428.0,2127.0,2390.0
100071,Hard shale,shale,3728.709459,2495.998383,2626.0
100390,Alberta Shale,shale,3900.0,2600.0,2600.0
101111,Oficina Dolomitized Shale,shale,5244.0,3040.0,2780.0
100411,Tight gas shale,shale,3373.0,2124.0,2400.0
100989,Olentangy Shale,shale,4852.295876,2765.728474,2680.0000670000004
101014,Gray Shale,shale,4151.201247999999,2555.653572,2710.000038
100362,Bakken Formation,shale,3380.0,2120.0,2220.0
100067,Hard shale,shale,3853.522778,2579.530478,2627.0
100834,Kimmeridge Shale,shale,3552.0,1895.0,2590.0
100040,Shale,shale,3737.190008,2048.366308,2574.0
101011,Gray Shale,shale,3837.088347,2391.5596010000004,2710.000038
100078,Hard shale,shale,3879.533529,2288.729191,2560.0
100991,Olentangy Shale,shale,5022.337914,2825.787306,2680.0000670000004
101109,Oficina Dolomitized Shale,shale,5207.0,3031.0,2780.0
100996,Brown Gas Shale,shale,3734.342337,2404.422998,2559.999943
100422,Tight gas shale,shale,3936.0,2382.0,2580.0
101099,Oficina Sandy Shale,shale,3003.0,1987.0,2390.0
100045,Shale,shale,3374.109507,1699.286342,2535.0
100061,Shale,shale,2941.366911,1424.32034,2440.0
100737,Beijing Jurassic Shale,shale,5217.91,2219.22,2550.0
101098,Oficina Sandy Shale,shale,2879.0,1954.0,2390.0
100971,Marcellus Black Shale,shale,4664.0095710000005,2648.009062,2509.999991
100366,Bakken Formation,shale,4210.0,2520.0,2550.0
100437,Woodford,shale,3669.515848,2461.585999,2525.000095
100597,Laminated Mudstone,shale,3066.0,1459.0,2510.0
100048,Shale,shale,2409.196138,1402.271271,2319.0
100059,Shale,shale,2813.171625,1395.249486,2440.0
101101,Oficina Sandy Shale,shale,3209.0,2048.0,2390.0
100097,Mesaverde clayshale,shale,3928.0,2055.0,2590.0
100980,Olentangy Shale,shale,3665.083408,2381.520748,2680.0000670000004
100598,Lenticular & Laminated Mudstone,shale,3443.0,1721.0,2516.0
100365,Bakken Formation,shale,3290.0,1860.0,2350.0
100105,Mesaverde mudshale,shale,5073.0,2998.0,2680.0
100147,Anisotropic shale,shale,2745.0,1508.0,2340.0
100962,Marcellus Black Shale,shale,3750.165939,2301.913261,2509.999991
100835,Kimmeridge Shale,shale,3602.0,1928.0,2590.0
100420,Tight gas shale,shale,3612.0,2140.0,2470.0
100979,Olentangy Shale,shale,3540.80677,2334.04398,2680.0000670000004
100438,Woodford,shale,3502.23136,2484.325886,2559.999943
101058,Shale 2 (Density is assumed constant),shale,3077.780008,1711.109996,2600.0
100060,Shale,shale,2867.997408,1409.8598960000002,2440.0
100069,Hard shale,shale,4067.380428,2655.875206,2627.0
100064,Hard shale,shale,3789.063931,2395.613432,2605.0
100997,Brown Gas Shale,shale,3827.327728,2404.422998,2559.999943
100826,Jurassic Shale (Table 7.2) Outcrop,shale,3120.0,1520.0,2500.0
100238,Jurassic North Sea Shale,shale,3296.0,1660.0,2490.0
100838,Kimmeridge Shale,shale,3777.0,2020.0,2590.0
101112,Oficina Dolomitized Shale,shale,5267.0,3047.0,2780.0
100076,Hard shale,shale,3703.355789,2264.7089960000003,2560.0
100410,Tight gas shale,shale,3531.0,2307.0,2450.0
101001,Brown Gas Shale,shale,4271.087170000001,2561.737776,2559.999943
100973,Marcellus Black Shale,shale,4876.972675,2736.793518,2509.999991
100815,Woodford Shale,shale,2902.0,1610.0,2130.0
100828,Jurassic Shale (Table 7.2) Outcrop,shale,3436.0,1762.0,2500.0
101062,Shale 2 (Density is assumed constant),shale,3466.670036,1877.779961,2600.0
100364,Bakken Formation,shale,3510.0,2030.0,2340.0
100032,Shale,shale,3360.904932,1686.6191629999998,2408.0
100367,Bakken Formation,shale,3720.0,2250.0,2380.0
101102,Oficina Sandy Shale,shale,3291.0,2076.0,2390.0
100984,Olentangy Shale,shale,4124.915123,2569.917917,2680.0000670000004
100425,Tight gas shale,shale,3537.0,2168.0,2470.0
100036,Shale,shale,3314.162254,1620.016217,2511.0
100418,Tight gas shale,shale,3214.0,2104.0,2420.0
100092,Mesaverde mudshale,shale,4529.0,2703.0,2520.0
101103,Oficina Sandy Shale,shale,3361.0,2103.0,2390.0
100394,Nahr Umr Shale,shale,4158.0,1622.0,2567.0
100057,Shale,shale,3353.5671230000003,1578.86827,2439.0
100416,Tight gas shale,shale,3522.0,2314.0,2410.0
100818,Woodford Shale,shale,2615.0,1571.0,2180.0
101016,Gray Shale,shale,4376.218796,2709.828854,2710.000038
101019,Gray Shale,shale,4646.150589,2855.692864,2710.000038
100831,Kimmeridge Shale,shale,3246.0,1706.0,2590.0
100433,Barnett Shale,shale,2429.502249,1680.15635,2338.000059
100043,Shale,shale,3222.822905,1606.200934,2535.0
100987,Olentangy Shale,shale,4615.839005,2731.791735,2680.0000670000004
100053,Shale,shale,2530.191422,1494.822502,2354.0
100832,Kimmeridge Shale,shale,3392.0,1811.0,2590.0
100990,Olentangy Shale,shale,4921.018124,2785.89201,2680.0000670000004
100551,NW Shelf Australia Shale,shale,3081.0,2250.0,2450.0
100065,Hard shale,shale,3839.385748,2409.195423,2605.0
101042,Shale 2 (Density is assumed constant),shale,2933.330059,1555.559993,2600.0
100970,Marcellus Black Shale,shale,4534.067631,2625.3438,2509.999991
100081,Hard shale,shale,4333.960056,2675.492525,2597.0
100042,Shale,shale,3911.908865,2169.936657,2574.0
101010,Gray Shale,shale,3774.06168,2360.4991440000003,2710.000038
101003,Brown Gas Shale,shale,4614.006996,2636.877775,2559.999943
100976,Marcellus Black Shale,shale,5181.948662,2829.835415,2509.999991
100434,Caney Shale,shale,1672.118664,1144.821405,2289.000034
101015,Gray Shale,shale,4212.965488,2584.369659,2710.000038
100054,Shale,shale,3080.177784,1347.708464,2439.0
101002,Brown Gas Shale,shale,4410.569668,2629.460573,2559.999943
101106,Oficina Dolomitized Shale,shale,5172.0,3021.0,2780.0
100079,Hard shale,shale,4173.278332,2638.537407,2597.0
101017,Gray Shale,shale,4451.460362,2750.377417,2710.000038
100968,Marcellus Black Shale,shale,4224.761009000001,2516.8752670000003,2509.999991
100363,Bakken Formation,shale,3460.0,2000.0,2330.0
100415,Tight gas shale,shale,3880.0,2453.0,2490.0
100216,Greenhorn Shale (5kft @ 1bar),shale,3048.0,1490.0,2420.0
100413,Tight gas shale,shale,3512.0,2349.0,2450.0
101114,Oficina Dolomitized Shale,shale,5284.0,3058.0,2780.0
100038,Shale,shale,3379.433155,1698.574066,2499.0
100426,Tight gas shale,shale,3480.0,2175.0,2480.0
100966,Marcellus Black Shale,shale,3956.939459,2411.790371,2509.999991
100072,Hard shale,shale,3774.891853,2508.9330670000004,2626.0
100126,Shale,shale,3377.0,1490.0,2420.0
101020,Gray Shale,shale,4752.160072,2881.420374,2710.000038
101107,Oficina Dolomitized Shale,shale,5181.0,3021.0,2780.0
100074,Hard shale,shale,3870.524645,2535.355568,2626.0
100432,Barnett Shale,shale,2989.703894,2235.194922,2562.000036
100981,Olentangy Shale,shale,3730.671406,2435.741186,2680.0000670000004
100049,Shale,shale,2449.137688,1420.602441,2319.0
100066,Hard shale,shale,3902.359009,2426.659346,2605.0
101043,Shale 2 (Density is assumed constant),shale,2900.000095,1577.780008,2600.0
100994,Brown Gas Shale,shale,3573.994637,2279.322863,2559.999943
101008,Brown Gas Shale,shale,5134.899139,2984.3339920000003,2559.999943
100055,Shale,shale,3214.996576,1462.949514,2439.0
101009,Gray Shale,shale,3067.506075,2207.0000170000003,2710.000038
100107,Mesaverde mudshale,shale,4296.0,2471.0,2660.0
100974,Marcellus Black Shale,shale,4978.039264999999,2772.948504,2509.999991
100056,Shale,shale,3287.508011,1523.3591800000002,2439.0
100736,Beijing Jurassic Shale,shale,5180.48,2188.68,2550.0
101063,Mancos Shale (Decane Saturated),shale,3441.8400880000004,2117.649902,2600.0
100735,Beijing Jurassic Shale,shale,5159.53,2134.35,2550.0
100435,Caney Shale,shale,1694.716096,1123.373032,2298.000097
101018,Gray Shale,shale,4549.847126,2816.66112,2710.000038
100047,Shale,shale,2357.632399,1375.884175,2319.0
100051,Shale,shale,2464.704037,1470.468283,2354.0
100128,Green River shale,shale,4167.0,2432.0,2310.0
100998,Brown Gas Shale,shale,3862.884522,2436.698675,2559.999943
101105,Oficina Sandy Shale,shale,3453.0,2136.0,2390.0
100062,Shale,shale,3004.095554,1434.355974,2440.0
101113,Oficina Dolomitized Shale,shale,5267.0,3054.0,2780.0
100424,Tight gas shale,shale,3536.0,2329.0,2430.0
100992,Olentangy Shale,shale,5092.429161,2845.5255030000003,2680.0000670000004
100044,Shale,shale,3324.643374,1667.652607,2535.0
